기준일,구분,누적확진자수,누적사망자수
2021-07-15,0-9,7996,0
2021-07-15,10-19,13015,0
2021-07-15,20-29,28265,3
2021-07-15,30-39,24986,8
2021-07-15,40-49,27241,15
2021-07-15,50-59,31483,75
2021-07-15,60-69,23965,251
2021-07-15,70-79,10561,584
2021-07-15,80 이상,5999,1114
2021-07-15,여성,85545,1034
2021-07-15,남성,87966,1016
2021-07-14,0-9,7893,0
2021-07-14,10-19,12860,0
2021-07-14,20-29,27877,3
2021-07-14,30-39,24683,8
2021-07-14,40-49,26949,15
2021-07-14,50-59,31244,74
2021-07-14,60-69,23876,250
2021-07-14,70-79,10542,584
2021-07-14,80 이상,5987,1114
2021-07-14,여성,84814,1033
2021-07-14,남성,87097,1015
2021-07-13,0-9,7815,0
2021-07-13,10-19,12681,0
2021-07-13,20-29,27450,3
2021-07-13,30-39,24376,8
2021-07-13,40-49,26670,15
2021-07-13,50-59,31001,74
2021-07-13,60-69,23802,249
2021-07-13,70-79,10521,584
2021-07-13,80 이상,5980,1113
2021-07-13,여성,84089,1032
2021-07-13,남성,86207,1014
2021-07-12,0-9,7728,0
2021-07-12,10-19,12576,0
2021-07-12,20-29,27157,3
2021-07-12,30-39,24167,8
2021-07-12,40-49,26464,15
2021-07-12,50-59,30827,73
2021-07-12,60-69,23744,249
2021-07-12,70-79,10506,584
2021-07-12,80 이상,5977,1112
2021-07-12,여성,83559,1031
2021-07-12,남성,85587,1013
2021-07-11,0-9,7663,0
2021-07-11,10-19,12468,0
2021-07-11,20-29,26882,3
2021-07-11,30-39,23998,8
2021-07-11,40-49,26276,15
2021-07-11,50-59,30607,73
2021-07-11,60-69,23694,248
2021-07-11,70-79,10488,584
2021-07-11,80 이상,5970,1112
2021-07-11,여성,83041,1031
2021-07-11,남성,85005,1012
2021-07-10,0-9,7606,0
2021-07-10,10-19,12340,0
2021-07-10,20-29,26559,3
2021-07-10,30-39,23755,8
2021-07-10,40-49,26041,15
2021-07-10,50-59,30367,73
2021-07-10,60-69,23626,246
2021-07-10,70-79,10464,584
2021-07-10,80 이상,5964,1109
2021-07-10,여성,82463,1029
2021-07-10,남성,84259,1009
2021-07-09,0-9,7553,0
2021-07-09,10-19,12193,0
2021-07-09,20-29,26239,3
2021-07-09,30-39,23525,8
2021-07-09,40-49,25784,15
2021-07-09,50-59,30123,73
2021-07-09,60-69,23547,245
2021-07-09,70-79,10437,583
2021-07-09,80 이상,5943,1109
2021-07-09,여성,81789,1029
2021-07-09,남성,83555,1007
2021-07-08,0-9,7487,0
2021-07-08,10-19,12060,0
2021-07-08,20-29,25916,3
2021-07-08,30-39,23287,8
2021-07-08,40-49,25549,15
2021-07-08,50-59,29901,73
2021-07-08,60-69,23470,245
2021-07-08,70-79,10422,583
2021-07-08,80 이상,5936,1107
2021-07-08,여성,81168,1028
2021-07-08,남성,82860,1006
2021-07-07,0-9,7430,0
2021-07-07,10-19,11941,0
2021-07-07,20-29,25564,3
2021-07-07,30-39,23060,8
2021-07-07,40-49,25330,15
2021-07-07,50-59,29687,73
2021-07-07,60-69,23408,245
2021-07-07,70-79,10401,582
2021-07-07,80 이상,5932,1107
2021-07-07,여성,80590,1027
2021-07-07,남성,82163,1006
2021-07-06,0-9,7397,0
2021-07-06,10-19,11820,0
2021-07-06,20-29,25229,3
2021-07-06,30-39,22846,8
2021-07-06,40-49,25103,15
2021-07-06,50-59,29493,73
2021-07-06,60-69,23346,244
2021-07-06,70-79,10381,582
2021-07-06,80 이상,5926,1107
2021-07-06,여성,80007,1026
2021-07-06,남성,81534,1006
2021-07-05,0-9,7355,0
2021-07-05,10-19,11746,0
2021-07-05,20-29,25058,3
2021-07-05,30-39,22718,8
2021-07-05,40-49,24955,15
2021-07-05,50-59,29369,73
2021-07-05,60-69,23308,243
2021-07-05,70-79,10367,581
2021-07-05,80 이상,5919,1105
2021-07-05,여성,79647,1024
2021-07-05,남성,81148,1004
2021-07-04,0-9,7312,0
2021-07-04,10-19,11674,0
2021-07-04,20-29,24899,3
2021-07-04,30-39,22589,8
2021-07-04,40-49,24822,15
2021-07-04,50-59,29240,73
2021-07-04,60-69,23275,243
2021-07-04,70-79,10363,581
2021-07-04,80 이상,5910,1103
2021-07-04,여성,79296,1022
2021-07-04,남성,80788,1004
2021-07-03,0-9,7285,0
2021-07-03,10-19,11595,0
2021-07-03,20-29,24728,3
2021-07-03,30-39,22478,8
2021-07-03,40-49,24664,15
2021-07-03,50-59,29118,73
2021-07-03,60-69,23218,243
2021-07-03,70-79,10353,580
2021-07-03,80 이상,5903,1103
2021-07-03,여성,78956,1021
2021-07-03,남성,80386,1004
2021-07-02,0-9,7237,0
2021-07-02,10-19,11496,0
2021-07-02,20-29,24517,3
2021-07-02,30-39,22340,8
2021-07-02,40-49,24521,15
2021-07-02,50-59,29018,73
2021-07-02,60-69,23172,243
2021-07-02,70-79,10344,580
2021-07-02,80 이상,5903,1102
2021-07-02,여성,78575,1020
2021-07-02,남성,79973,1004
2021-07-01,0-9,7189,0
2021-07-01,10-19,11422,0
2021-07-01,20-29,24313,3
2021-07-01,30-39,22204,8
2021-07-01,40-49,24363,15
2021-07-01,50-59,28874,73
2021-07-01,60-69,23120,243
2021-07-01,70-79,10336,578
2021-07-01,80 이상,5901,1101
2021-07-01,여성,78197,1018
2021-07-01,남성,79525,1003
2021-06-30,0-9,7154,0
2021-06-30,10-19,11344,0
2021-06-30,20-29,24143,3
2021-06-30,30-39,22048,8
2021-06-30,40-49,24225,15
2021-06-30,50-59,28760,73
2021-06-30,60-69,23069,243
2021-06-30,70-79,10322,576
2021-06-30,80 이상,5896,1100
2021-06-30,여성,77870,1018
2021-06-30,남성,79091,1000
2021-06-29,0-9,7120,0
2021-06-29,10-19,11286,0
2021-06-29,20-29,23948,3
2021-06-29,30-39,21907,8
2021-06-29,40-49,24057,15
2021-06-29,50-59,28622,73
2021-06-29,60-69,23027,242
2021-06-29,70-79,10307,576
2021-06-29,80 이상,5893,1100
2021-06-29,여성,77481,1018
2021-06-29,남성,78686,999
2021-06-28,0-9,7093,0
2021-06-28,10-19,11220,0
2021-06-28,20-29,23809,3
2021-06-28,30-39,21792,8
2021-06-28,40-49,23961,15
2021-06-28,50-59,28528,73
2021-06-28,60-69,22987,241
2021-06-28,70-79,10294,575
2021-06-28,80 이상,5888,1100
2021-06-28,여성,77206,1017
2021-06-28,남성,78366,998
2021-06-27,0-9,7057,0
2021-06-27,10-19,11187,0
2021-06-27,20-29,23697,3
2021-06-27,30-39,21710,8
2021-06-27,40-49,23874,15
2021-06-27,50-59,28442,73
2021-06-27,60-69,22939,241
2021-06-27,70-79,10281,573
2021-06-27,80 이상,5884,1100
2021-06-27,여성,76986,1017
2021-06-27,남성,78085,996
2021-06-26,0-9,7005,0
2021-06-26,10-19,11142,0
2021-06-26,20-29,23564,3
2021-06-26,30-39,21608,8
2021-06-26,40-49,23755,15
2021-06-26,50-59,28348,73
2021-06-26,60-69,22880,241
2021-06-26,70-79,10274,573
2021-06-26,80 이상,5881,1099
2021-06-26,여성,76708,1016
2021-06-26,남성,77749,996
2021-06-25,0-9,6956,0
2021-06-25,10-19,11084,0
2021-06-25,20-29,23433,3
2021-06-25,30-39,21475,8
2021-06-25,40-49,23650,15
2021-06-25,50-59,28223,73
2021-06-25,60-69,22828,241
2021-06-25,70-79,10261,571
2021-06-25,80 이상,5879,1098
2021-06-25,여성,76403,1015
2021-06-25,남성,77386,994
2021-06-24,0-9,6895,0
2021-06-24,10-19,11019,0
2021-06-24,20-29,23307,3
2021-06-24,30-39,21376,8
2021-06-24,40-49,23546,15
2021-06-24,50-59,28122,73
2021-06-24,60-69,22773,240
2021-06-24,70-79,10247,571
2021-06-24,80 이상,5870,1098
2021-06-24,여성,76140,1015
2021-06-24,남성,77015,993
2021-06-23,0-9,6862,0
2021-06-23,10-19,10969,0
2021-06-23,20-29,23187,3
2021-06-23,30-39,21272,8
2021-06-23,40-49,23420,15
2021-06-23,50-59,28029,73
2021-06-23,60-69,22711,240
2021-06-23,70-79,10226,571
2021-06-23,80 이상,5869,1097
2021-06-23,여성,75870,1014
2021-06-23,남성,76675,993
2021-06-22,0-9,6823,0
2021-06-22,10-19,10902,0
2021-06-22,20-29,23066,3
2021-06-22,30-39,21175,8
2021-06-22,40-49,23301,15
2021-06-22,50-59,27908,73
2021-06-22,60-69,22652,239
2021-06-22,70-79,10210,571
2021-06-22,80 이상,5863,1097
2021-06-22,여성,75581,1014
2021-06-22,남성,76319,992
2021-06-21,0-9,6805,0
2021-06-21,10-19,10864,0
2021-06-21,20-29,23005,3
2021-06-21,30-39,21107,8
2021-06-21,40-49,23225,15
2021-06-21,50-59,27820,73
2021-06-21,60-69,22622,237
2021-06-21,70-79,10199,571
2021-06-21,80 이상,5859,1097
2021-06-21,여성,75397,1013
2021-06-21,남성,76109,991
2021-06-20,0-9,6784,0
2021-06-20,10-19,10825,0
2021-06-20,20-29,22955,3
2021-06-20,30-39,21059,8
2021-06-20,40-49,23151,15
2021-06-20,50-59,27751,73
2021-06-20,60-69,22582,237
2021-06-20,70-79,10186,570
2021-06-20,80 이상,5856,1096
2021-06-20,여성,75219,1012
2021-06-20,남성,75930,990
2021-06-19,0-9,6764,0
2021-06-19,10-19,10799,0
2021-06-19,20-29,22876,3
2021-06-19,30-39,20984,8
2021-06-19,40-49,23077,15
2021-06-19,50-59,27671,73
2021-06-19,60-69,22524,235
2021-06-19,70-79,10175,567
2021-06-19,80 이상,5850,1096
2021-06-19,여성,75008,1009
2021-06-19,남성,75712,988
2021-06-18,0-9,6733,0
2021-06-18,10-19,10755,0
2021-06-18,20-29,22788,3
2021-06-18,30-39,20919,8
2021-06-18,40-49,22993,15
2021-06-18,50-59,27580,72
2021-06-18,60-69,22467,235
2021-06-18,70-79,10154,567
2021-06-18,80 이상,5849,1096
2021-06-18,여성,74774,1008
2021-06-18,남성,75464,988
2021-06-17,0-9,6704,0
2021-06-17,10-19,10717,0
2021-06-17,20-29,22691,3
2021-06-17,30-39,20833,8
2021-06-17,40-49,22899,15
2021-06-17,50-59,27500,72
2021-06-17,60-69,22397,233
2021-06-17,70-79,10144,567
2021-06-17,80 이상,5846,1096
2021-06-17,여성,74540,1008
2021-06-17,남성,75191,986
2021-06-16,0-9,6678,0
2021-06-16,10-19,10680,0
2021-06-16,20-29,22600,3
2021-06-16,30-39,20739,8
2021-06-16,40-49,22806,15
2021-06-16,50-59,27400,72
2021-06-16,60-69,22323,232
2021-06-16,70-79,10122,567
2021-06-16,80 이상,5843,1096
2021-06-16,여성,74281,1008
2021-06-16,남성,74910,985
